"","name","year","month","day","hour","lat","long","status","category","wind","pressure","ts_diameter","hu_diameter"
"1","Amy",1975,6,27,0,27.5,-79,"tropical depression","-1",25,1013,NA,NA
"2","Amy",1975,6,27,6,28.5,-79,"tropical depression","-1",25,1013,NA,NA
"3","Amy",1975,6,27,12,29.5,-79,"tropical depression","-1",25,1013,NA,NA
"4","Amy",1975,6,27,18,30.5,-79,"tropical depression","-1",25,1013,NA,NA
"5","Amy",1975,6,28,0,31.5,-78.8,"tropical depression","-1",25,1012,NA,NA
"6","Amy",1975,6,28,6,32.4,-78.7,"tropical depression","-1",25,1012,NA,NA
"7","Amy",1975,6,28,12,33.3,-78,"tropical depression","-1",25,1011,NA,NA
"8","Amy",1975,6,28,18,34,-77,"tropical depression","-1",30,1006,NA,NA
"9","Caroline",1975,8,24,12,22.4,-69.8,"tropical depression","-1",25,1011,NA,NA
"10","Caroline",1975,8,24,18,21.9,-71.1,"tropical depression","-1",25,1011,NA,NA
"11","Caroline",1975,8,25,0,21.6,-72.5,"tropical depression","-1",25,1010,NA,NA
"12","Caroline",1975,8,25,6,21.2,-73.8,"tropical depression","-1",25,1010,NA,NA
"13","Caroline",1975,8,25,12,20.9,-75.1,"tropical depression","-1",25,1011,NA,NA
"14","Caroline",1975,8,25,18,20.6,-76.4,"tropical depression","-1",25,1011,NA,NA
"15","Caroline",1975,8,26,0,20.4,-77.7,"tropical depression","-1",25,1011,NA,NA
"16","Caroline",1975,8,26,6,20.3,-79,"tropical depression","-1",25,1011,NA,NA
"17","Caroline",1975,8,26,12,20.2,-80.3,"tropical depression","-1",25,1012,NA,NA
"18","Caroline",1975,8,26,18,20.2,-81.6,"tropical depression","-1",25,1012,NA,NA
"19","Caroline",1975,8,27,0,20.4,-82.8,"tropical depression","-1",25,1013,NA,NA
"20","Caroline",1975,8,27,6,20.8,-84,"tropical depression","-1",25,1013,NA,NA
"21","Caroline",1975,8,27,12,21.1,-85.1,"tropical depression","-1",25,1014,NA,NA
"22","Caroline",1975,8,27,18,21.5,-86.3,"tropical depression","-1",25,1014,NA,NA
"23","Caroline",1975,8,28,0,22,-87.5,"tropical depression","-1",25,1014,NA,NA
"24","Caroline",1975,8,28,6,22.4,-88.8,"tropical depression","-1",25,1014,NA,NA
"25","Caroline",1975,8,28,12,22.8,-90.1,"tropical depression","-1",25,1013,NA,NA
"26","Caroline",1975,8,28,18,22.9,-91,"tropical depression","-1",25,1010,NA,NA
"27","Caroline",1975,8,29,0,23,-91.9,"tropical depression","-1",30,1007,NA,NA
"28","Caroline",1975,8,30,0,23.3,-94.2,"hurricane","1",65,990,NA,NA
"29","Caroline",1975,8,30,6,23.5,-94.9,"hurricane","1",65,990,NA,NA
"30","Caroline",1975,8,30,12,23.7,-95.6,"hurricane","1",65,989,NA,NA
"31","Caroline",1975,8,30,18,23.8,-96.3,"hurricane","1",70,987,NA,NA
"32","Caroline",1975,8,31,0,24,-97,"hurricane","3",100,973,NA,NA
"33","Caroline",1975,8,31,6,24.1,-97.5,"hurricane","3",100,963,NA,NA
"34","Caroline",1975,8,31,12,24.3,-97.8,"hurricane","2",90,963,NA,NA
"35","Caroline",1975,9,1,0,25.1,-98.3,"tropical depression","-1",30,1000,NA,NA
"36","Caroline",1975,9,1,6,25.2,-98.7,"tropical depression","-1",20,1002,NA,NA
"37","Caroline",1975,9,1,12,25.3,-99,"tropical depression","-1",20,1002,NA,NA
"38","Doris",1975,8,31,0,34.9,-46.3,"hurricane","1",65,990,NA,NA
"39","Doris",1975,8,31,6,34.8,-45.7,"hurricane","1",65,990,NA,NA
"40","Doris",1975,8,31,12,34.7,-45.2,"hurricane","1",70,990,NA,NA
"41","Doris",1975,8,31,18,34.6,-44.9,"hurricane","1",70,990,NA,NA
"42","Doris",1975,9,1,0,34.5,-44.6,"hurricane","1",75,984,NA,NA
"43","Doris",1975,9,1,6,34.6,-44.2,"hurricane","1",75,984,NA,NA
